Price,Close,High,Low,Open,Volume
Ticker,PLTR,PLTR,PLTR,PLTR,PLTR
Date,,,,,
2024-11-01,41.91999816894531,42.56999969482422,41.59000015258789,41.93000030517578,33722500
2024-11-04,41.40999984741211,42.040000915527344,41.03200149536133,41.08000183105469,75413300
2024-11-05,51.130001068115234,51.57500076293945,46.86000061035156,47.86000061035156,208868200
2024-11-06,55.529998779296875,55.689998626708984,51.61000061035156,53.439998626708984,114255900
2024-11-07,55.880001068115234,56.470001220703125,53.54999923706055,55.81999969482422,121591200
2024-11-08,58.38999938964844,58.47999954223633,55.29999923706055,55.56999969482422,84124000
2024-11-11,60.2400016784668,62.08000183105469,58.689998626708984,60.132999420166016,108357800
2024-11-12,59.849998474121094,60.09000015258789,58.56999969482422,59.0099983215332,59061300
2024-11-13,60.70000076293945,63.38999938964844,59.849998474121094,61.52000045776367,85937400
2024-11-14,59.18000030517578,61.16999816894531,58.529998779296875,61.04999923706055,59968200
2024-11-15,65.7699966430664,66.0,60.90999984741211,61.0099983215332,155280400
2024-11-18,61.2599983215332,64.91999816894531,58.849998474121094,64.91999816894531,137877600
2024-11-19,62.97999954223633,63.0099983215332,59.26499938964844,59.5099983215332,75557800
2024-11-20,62.119998931884766,63.08000183105469,59.959999084472656,62.59000015258789,59182200
2024-11-21,61.36000061035156,63.400001525878906,60.89500045776367,62.040000915527344,56336700
2024-11-22,64.3499984741211,64.44000244140625,61.369998931884766,61.599998474121094,61381700
2024-11-25,64.6500015258789,67.87999725341797,64.08000183105469,66.9000015258789,80640500
2024-11-26,65.73999786376953,65.8499984741211,63.88999938964844,64.56999969482422,46923600
2024-11-27,66.05000305175781,67.55999755859375,64.23999786376953,66.23999786376953,53839900
2024-11-29,67.08000183105469,67.16000366210938,65.47000122070312,65.88999938964844,30104000
2024-12-02,66.38999938964844,67.87999725341797,65.95999908447266,67.44000244140625,46405000
2024-12-03,70.95999908447266,71.37000274658203,66.1500015258789,66.41000366210938,100751400
2024-12-04,69.8499984741211,71.18000030517578,67.27999877929688,71.12999725341797,86284800
2024-12-05,71.87000274658203,72.9800033569336,69.88999938964844,70.11000061035156,66585800
2024-12-06,76.33999633789062,76.81999969482422,72.27999877929688,72.94999694824219,93640900
2024-12-09,72.45999908447266,80.91000366210938,71.05000305175781,80.58000183105469,168134800
2024-12-10,70.88999938964844,75.55999755859375,70.7300033569336,71.98999786376953,89672500
2024-12-11,72.51000213623047,73.0,68.06999969482422,72.9800033569336,89477700
2024-12-12,73.19999694824219,75.37999725341797,71.9000015258789,72.30000305175781,73859700
2024-12-13,76.06999969482422,76.0999984741211,72.44999694824219,73.48999786376953,76172800
2024-12-16,75.75,77.81999969482422,71.16000366210938,75.05999755859375,126099600
2024-12-17,74.38999938964844,75.31999969482422,71.69999694824219,73.27999877929688,75469400
2024-12-18,71.51000213623047,77.5999984741211,70.2699966430664,74.30000305175781,109643400
2024-12-19,74.20999908447266,76.58999633789062,73.37000274658203,73.98999786376953,99524300
2024-12-20,80.55000305175781,80.66000366210938,71.5,72.63999938964844,281230800
2024-12-23,80.69000244140625,82.0199966430664,77.41000366210938,80.6500015258789,93819500
2024-12-24,82.37999725341797,84.7969970703125,81.0,81.08999633789062,64983300
2024-12-26,82.13999938964844,83.48999786376953,81.30000305175781,83.16000366210938,60377100
2024-12-27,79.08000183105469,82.0,77.93000030517578,81.41999816894531,66975900
2024-12-30,77.18000030517578,79.23999786376953,76.11000061035156,77.04000091552734,60850900
2024-12-31,75.62999725341797,77.9800033569336,73.6500015258789,77.58000183105469,56267900
2025-01-02,75.19000244140625,76.52999877929688,72.41999816894531,76.19999694824219,72217200
2025-01-03,79.88999938964844,79.9800033569336,75.19000244140625,75.38999938964844,62415000
2025-01-06,75.91999816894531,80.05999755859375,74.61000061035156,78.69000244140625,105619500
2025-01-07,69.98999786376953,75.38999938964844,69.75,75.19999694824219,91727300
2025-01-08,68.2300033569336,69.52999877929688,66.51000213623047,68.12000274658203,91349500
2025-01-10,67.26000213623047,68.19999694824219,65.04000091552734,66.01000213623047,78148600
2025-01-13,64.9800033569336,65.68000030517578,63.400001525878906,64.29000091552734,69046300
2025-01-14,65.91000366210938,68.2300033569336,65.19000244140625,67.18000030517578,56814900
2025-01-15,68.13999938964844,68.8499984741211,67.08000183105469,68.55000305175781,56025800
2025-01-16,69.23999786376953,71.43000030517578,68.36000061035156,69.08000183105469,62908700
2025-01-17,71.7699966430664,72.33999633789062,69.94999694824219,70.9000015258789,54754000
2025-01-21,73.06999969482422,73.63600158691406,70.60099792480469,73.23999786376953,56229000
2025-01-22,76.87000274658203,77.16000366210938,73.80000305175781,74.5,66876400
2025-01-23,78.9800033569336,79.0,75.83999633789062,76.04000091552734,55937900
2025-01-24,78.9800033569336,82.23999786376953,78.44000244140625,79.05000305175781,77931900
2025-01-27,75.44000244140625,76.72000122070312,72.66999816894531,74.06999969482422,76093300
2025-01-28,80.2300033569336,80.73999786376953,74.04000091552734,75.54000091552734,65916700
2025-01-29,79.76000213623047,80.81999969482422,77.80999755859375,79.94999694824219,49262200
2025-01-30,81.22000122070312,81.83000183105469,79.37999725341797,80.0199966430664,46067500
2025-01-31,82.48999786376953,85.22000122070312,80.87000274658203,81.0,79000200
2025-02-03,83.73999786376953,84.25,78.47000122070312,80.125,126592700
2025-02-04,103.83000183105469,106.91000366210938,100.51000213623047,102.80000305175781,230806800
2025-02-05,101.36000061035156,103.56999969482422,99.31999969482422,101.77999877929688,90628300
2025-02-06,111.27999877929688,111.54499816894531,100.26000213623047,101.08999633789062,128217500
2025-02-07,110.8499984741211,116.30000305175781,110.44999694824219,111.66000366210938,143795400
